web-scraper-order,web-scraper-start-url,pagi,Bank NameBank,CityCity,StateSt,CertCert,Acquiring InstitutionAI,Closing DateClosing,FundFund
"1655991395-494","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","FirstCity Bank","Stockbridge","GA","18243","No Acquirer","March 20, 2009","10047"
"1655991395-140","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","The RiverBank","Wyoming","MN","10216","Central Bank","October 7, 2011","10399"
"1655991395-58","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Banks of Wisconsin d/b/a Bank of Kenosha","Kenosha","WI","35386","North Shore Bank, FSB","May 31, 2013","10478"
"1655991395-61","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Pisgah Community Bank","Asheville","NC","58701","Capital Bank, N.A.","May 10, 2013","10480"
"1655991395-450","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Security Bank of Bibb County","Macon","GA","27367","State Bank and Trust Company","July 24, 2009","10085"
"1655991395-215","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community National Bank","Lino Lakes","MN","23306","Farmers & Merchants Savings Bank","December 17, 2010","10321"
"1655991395-357","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","American Marine Bank","Bainbridge Island","WA","16730","Columbia State Bank","January 29, 2010","10178"
"1655991395-548","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Bank of Alamo","Alamo","TN","9961","No Acquirer","November 8, 2002","4658"
"1655991395-495","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Freedom Bank of Georgia","Commerce","GA","57558","Northeast Georgia Bank","March 6, 2009","10044"
"1655991395-7","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Louisa Community Bank","Louisa","KY","58112","Kentucky Farmers Bank Corporation","October 25, 2019","10532"
"1655991395-517","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Community Bank","Loganville","GA","16490","Bank of Essex","November 21, 2008","10022"
"1655991395-393","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Gateway Bank of St. Louis","St. Louis","MO","19450","Central Bank of Kansas City","November 6, 2009","10146"
"1655991395-80","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","First United Bank","Crete","IL","20685","Old Plank Trail Community Bank, National Association","September 28, 2012","10459"
"1655991395-26","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Doral Bank
            

            En Español","San Juan","PR","32102","Banco Popular de Puerto Rico","February 27, 2015","10513"
"1655991395-466","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","John Warner Bank","Clinton","IL","12093","State Bank of Lincoln","July 2, 2009","10076"
"1655991395-68","https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/","","Frontier Bank","LaGrange","GA","16431","HeritageBank of the South","March 8, 2013","10471"
